id,num_words,score,date,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
20200603,4402,0.5915259121034455,03062020,,
20200604,4876,0.6385324902378994,04062020,,
20200605,4561,0.5839242942825607,05062020,,
20200608,4460,0.5511214329367098,08062020,,
20200609,5596,0.2952657222942165,09062020,,
20200610,3763,0.2789857293147108,10062020,75.0,81.0
20200611,4239,0.3281350733469361,11062020,77.0,78.0
20200612,5275,0.3408937550044578,12062020,85.0,77.0
20200615,5738,0.6083655463612597,15062020,66.0,79.0
20200616,4670,0.6055982353635455,16062020,85.0,87.0
20200617,4396,0.584886985356393,17062020,85.0,77.0
20200618,6492,0.6164063956556112,18062020,81.0,82.0
20200619,4910,0.6054376497994298,19062020,71.0,60.0
20200622,4401,0.4643996777158716,22062020,89.0,102.0
20200623,4736,0.3652684586397979,23062020,52.0,62.0
20200624,5543,0.7051946474417395,24062020,74.0,70.0
20200625,4788,0.5112488714249237,25062020,79.0,90.0
20200626,3706,0.4170025900265444,26062020,83.0,84.0
20200629,3530,0.4795220038424367,29062020,92.0,77.0
20200630,4734,0.3303856794406538,30062020,73.0,69.0
20200701,3653,0.6504988166430722,01072020,,
20200702,2299,0.6326597222685814,02072020,,
20200703,3715,0.6416193864786106,03072020,,
20200706,4303,0.2277980234959851,06072020,,
20200707,4107,0.3675097256315791,07072020,,
20200710,3451,0.2361229665091504,10072020,87.0,73.0
20200713,4809,0.6386378047647683,13072020,87.0,87.0
20200714,3696,0.322597015266833,14072020,69.0,70.0
20200715,4754,0.1747123361022576,15072020,82.0,76.0
20200716,4520,0.4838305309738801,16072020,73.0,88.0
20200717,4874,0.7097396183143491,17072020,74.0,73.0
20200720,3772,0.461665347257386,20072020,79.0,90.0
20200721,4169,0.3091962556670541,21072020,83.0,89.0
20200722,6356,0.1694481369075567,22072020,92.0,94.0
20200723,3166,0.3792343513797158,23072020,69.0,93.0
20200724,5745,0.4786012212543383,24072020,89.0,82.0
20200728,5126,0.2210905659490305,28072020,74.0,81.0
20200729,4535,0.4838966388935627,29072020,72.0,67.0
20200730,4140,0.3001200876287792,30072020,69.0,60.0
20200731,4413,0.1994994139509356,31072020,84.0,69.0
20200803,4344,0.22821991302073,03082020,,
20200804,3841,0.6425629881931387,04082020,,
20200805,4397,0.4766580125819081,05082020,,
20200806,4259,0.564796756259773,06082020,,
20200807,4476,0.4757661577152168,07082020,,
20200810,4195,0.4398917890890784,10082020,81.0,74.0
20200811,4450,0.2052201571995797,11082020,79.0,73.0
20200812,4276,0.431383749751941,12082020,68.0,73.0
20200813,4541,0.1690378331554972,13082020,84.0,64.0
20200814,5125,0.4790106733272904,14082020,65.0,70.0
20200817,4268,0.393277482604203,17082020,76.0,95.0
20200818,4222,0.2714587949410728,18082020,66.0,80.0
20200819,4102,0.4585628564785355,19082020,81.0,102.0
20200820,6705,0.4799460813014403,20082020,80.0,80.0
20200821,3789,0.4625201981352723,21082020,69.0,74.0
20200824,5021,0.1766128727145816,24082020,83.0,109.0
20200825,4874,0.1722827746071245,25082020,101.0,102.0
20200826,5281,0.4836992255501124,26082020,101.0,84.0
