id,num_words,score,dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas,nnet_score
20200917,5657,0.3145369,9/17/2020,65,75,0.683647812
20200918,6252,0.451324318,9/18/2020,67,59,0.478575642
20200921,4214,0.169953256,9/21/2020,62,85,0.497415077
20200922,7021,0.176023731,9/22/2020,75,72,0.409312398
20200923,4493,0.161031007,9/23/2020,71,71,0.505620741
20200924,5495,0.515217461,9/24/2020,82,70,0.636491573
20200925,4589,0.349722584,9/25/2020,70,77,0.388665875
20200928,5315,0.260316483,9/28/2020,85,80,0.443572394
20200929,7386,0.153792454,9/29/2020,72,61,0.569138381
20200930,2745,0.333438773,9/30/2020,83,69,0.210399423
20201001,3636,0.647150602,10/1/2020,68,72,0.469242942
20201002,2335,0.108940352,10/2/2020,71,56,0.290156646
20201005,4500,0.32218304,10/5/2020,102,100,0.428271538
20201006,6020,0.330532756,10/6/2020,65,72,0.444846447
20201007,5788,0.617160161,10/7/2020,73,83,0.459996702
20201008,3683,0.248254063,10/8/2020,67,78,0.460866942
20201009,1856,0.193583901,10/9/2020,77,71,0.309924206
20201012,3219,0.23754229,10/12/2020,77,117,0.470929266
20201013,5581,0.222432357,10/13/2020,78,68,0.243898019
20201014,3295,0.10549045,10/14/2020,89,80,0.3645381
20201015,3193,0.603627391,10/15/2020,86,79,0.348075701
20201016,3410,0.15008113,10/16/2020,59,59,0.361398899
20201019,4239,0.443317566,10/19/2020,76,82,0.353875019
20201020,4569,0.300209808,10/20/2020,67,65,0.189043423
20201021,8172,0.607583235,10/21/2020,72,72,0.513310933
20201022,5182,0.284055452,10/22/2020,99,86,0.491551296
20201023,4493,0.176489321,10/23/2020,76,69,0.343693254
20201026,4564,0.27938223,10/26/2020,87,83,0.540696939
20201027,2271,0.313754295,10/27/2020,67,60,0.201514795
20201028,3426,0.153984317,10/28/2020,95,128,0.286152462
20201029,5683,0.594161066,10/29/2020,50,60,0.307224648
20201030,2568,0.172151484,10/30/2020,70,84,0.271939318
20201103,7603,0.239750459,11/3/2020,61,77,0.496667362
