"id","num_words","score","dates","homicides_gov","homicides_open","nnet_score"
20200220,4031,0.234145368,2020-02-20,87,90,0.454067958463793
20200221,4439,0.460296317,2020-02-21,78,80,0.451533772595551
20200224,2867,0.227450612,2020-02-24,83,96,0.47492869283842
20200225,3528,0.310557562,2020-02-25,86,82,0.227584486985984
20200226,4882,0.635699923,2020-02-26,80,70,0.467620816204859
20200227,3302,0.243767579,2020-02-27,61,73,0.482091901496701
20200228,4586,0.132838123,2020-02-28,60,58,0.250815444316553
20200302,3167,0.178420415,2020-03-02,82,93,0.36957645714283
20200303,4814,0.154346207,2020-03-03,95,68,0.354028731986232
20200304,4189,0.169873551,2020-03-04,62,65,0.41527826288472
20200305,4197,0.101787239,2020-03-05,97,92,0.379557372707388
20200306,3559,0.579751419,2020-03-06,71,63,0.426493995682053
20200309,4236,0.565966846,2020-03-09,72,85,0.475766040242237
20200310,3893,0.478476935,2020-03-10,79,81,0.265887873794722
20200311,4396,0.520702803,2020-03-11,88,80,0.316519668102264
20200312,4690,0.170856741,2020-03-12,94,73,0.210257956592933
20200313,1832,0.216926163,2020-03-13,76,68,0.117000467296204
20200316,4924,0.420469658,2020-03-16,82,78,0.278549229088037
20200317,5271,0.256780869,2020-03-17,86,89,0.253413241803646
20200318,4843,0.276744404,2020-03-18,54,69,0.305042734133161
20200319,6321,0.16848408,2020-03-19,60,60,0.285179139783849
20200320,2271,0.108903914,2020-03-20,99,81,0.22060578432744
20200323,5925,0.661114674,2020-03-23,92,78,0.422113017089989
20200324,4394,0.468218871,2020-03-24,82,63,0.162566701876728
20200325,4376,0.15970506,2020-03-25,95,72,0.398588112994381
20200326,3737,0.512080169,2020-03-26,86,77,0.437516955318658
20200327,5114,0.331824694,2020-03-27,91,63,0.409063707279122
20200330,4487,0.302878852,2020-03-30,72,72,0.38431132801201
20200331,4810,0.171772164,2020-03-31,80,71,0.381782545900863
20200401,1873,0.169032224,2020-04-01,79,70,0.292214214788831
20200402,3325,0.479066032,2020-04-02,66,66,0.329296910490679
20200403,2555,0.429631934,2020-04-03,88,87,0.368205018833927
20200404,3020,0.071706491,2020-04-04,104,67,0.329844804470954
20200406,4596,0.63999914,2020-04-06,80,79,0.594541443508604
20200407,3944,0.313549511,2020-04-07,61,66,0.259883682928655
20200408,4463,0.141728669,2020-04-08,79,80,0.436237733299318
20200409,1719,0.066626974,2020-04-09,102,0,0.182407374310753
20200410,1611,0.324567918,2020-04-10,87,53,0.228057095469988
20200413,2832,0.127233487,2020-04-13,76,76,0.267598515334337
20200414,3549,0.447333732,2020-04-14,82,80,0.254396520017282
20200415,4568,0.139566535,2020-04-15,96,81,0.559723803077055
20200416,6404,0.297607311,2020-04-16,80,71,0.522618552562983
20200417,5333,0.396009082,2020-04-17,76,64,0.492963614671127
20200420,5737,0.602573717,2020-04-20,114,104,0.510077254655568
20200421,5282,0.150893353,2020-04-21,80,81,0.327984208671943
20200422,4991,0.48488306,2020-04-22,92,90,0.554608383411946
20200423,6069,0.241569366,2020-04-23,59,67,0.516545728108157
20200424,4619,0.702821987,2020-04-24,81,61,0.401077894076057
20200427,3780,0.272384688,2020-04-27,72,78,0.505759770209375
20200428,7029,0.42054534,2020-04-28,68,69,0.367453896597676
20200429,4721,0.206991797,2020-04-29,79,77,0.453102154355982
20200430,4567,0.158729388,2020-04-30,75,66,0.417256037981614
20200501,5879,0.294219009,2020-05-01,73,58,0.554135965821536
20200504,5606,0.435247436,2020-05-04,76,78,0.450356517123139
20200505,5731,0.170302988,2020-05-05,76,67,0.387585006291452
20200506,4703,0.510791314,2020-05-06,57,73,0.497325797586337
20200507,5680,0.36420665,2020-05-07,73,73,0.456540764699811
20200508,3234,0.411479275,2020-05-08,81,67,0.276019888980233
20200511,4567,0.361631936,2020-05-11,72,76,0.4397548743305
20200512,3862,0.193892737,2020-05-12,70,73,0.36450285785872
20200513,3939,0.298897928,2020-05-13,86,68,0.163396134538495
20200514,4036,0.25673852,2020-05-14,84,80,0.332816107299017
20200515,4890,0.469934858,2020-05-15,91,85,0.425574945820414
20200518,5526,0.432781414,2020-05-18,84,75,0.493457471080448
20200519,6194,0.364304387,2020-05-19,68,80,0.398334606302821
20200520,5580,0.607292431,2020-05-20,64,65,0.471968549943489
20200521,3424,0.330252524,2020-05-21,68,69,0.470708887175373
20200522,4916,0.170892129,2020-05-22,74,70,0.410390388382518
20200525,5151,0.139479487,2020-05-25,78,80,0.621724221265834
20200526,6595,0.397430769,2020-05-26,72,76,0.508979645863823
20200527,4100,0.39548527,2020-05-27,84,85,0.306792317965756
20200528,4021,0.204171696,2020-05-28,85,79,0.441022877680219
20200529,6502,0.30001075,2020-05-29,61,88,0.306259577999944
20200601,4622,0.381575999,2020-06-01,67,87,0.310701290122841
20200602,3159,0.449695967,2020-06-02,71,73,0.223409027373013
20200603,4402,0.591525912,2020-06-03,77,73,0.248361316284408
20200604,4876,0.63853249,2020-06-04,79,74,0.547146793383619
20200605,4561,0.583924294,2020-06-05,60,69,0.261666981506607
20200608,4460,0.551121433,2020-06-08,96,102,0.42684541610272
20200609,5596,0.295265722,2020-06-09,73,76,0.434877337450566
20200610,3763,0.278985729,2020-06-10,75,81,0.432604059071644
20200611,4239,0.328135073,2020-06-11,77,78,0.392470590070538
20200612,5275,0.340893755,2020-06-12,85,77,0.605182909641577
20200615,5738,0.608365546,2020-06-15,66,79,0.587049545451351
20200616,4670,0.605598235,2020-06-16,85,87,0.319914137973734
20200617,4396,0.584886985,2020-06-17,85,77,0.497296018185823
20200618,6492,0.616406396,2020-06-18,81,82,0.53204264620076
20200619,4910,0.60543765,2020-06-19,71,60,0.392457785515682
20200622,4401,0.464399678,2020-06-22,89,102,0.526195604814135
20200623,4736,0.365268459,2020-06-23,52,62,0.337577257823685
20200624,5543,0.705194647,2020-06-24,74,70,0.430592627965886
20200625,4788,0.511248871,2020-06-25,79,90,0.458075138032436
20200626,3706,0.41700259,2020-06-26,83,84,0.44130534146143
20200629,3530,0.479522004,2020-06-29,92,77,0.340232881385347
20200630,4734,0.330385679,2020-06-30,73,69,0.381352477319862
20200701,3653,0.650498817,2020-07-01,92,110,0.36342833250761
20200702,2299,0.632659722,2020-07-02,68,66,0.269242608430593
20200703,3715,0.641619386,2020-07-03,98,74,0.430492247304191
20200706,4303,0.227798023,2020-07-06,90,74,0.300543753932352
20200707,4107,0.367509726,2020-07-07,62,68,0.374504389931326
20200710,3451,0.236122967,2020-07-10,87,73,0.26131741128538
20200713,4809,0.638637805,2020-07-13,87,87,0.468983737722687
20200714,3696,0.322597015,2020-07-14,69,70,0.307238832764004
20200715,4754,0.174712336,2020-07-15,82,76,0.530940455962782
20200716,4520,0.483830531,2020-07-16,73,88,0.450957450154035
20200717,4874,0.709739618,2020-07-17,74,73,0.533316523199496
20200720,3772,0.461665347,2020-07-20,79,90,0.386665251591931
20200721,4169,0.309196256,2020-07-21,83,89,0.262587264834539
20200722,6356,0.169448137,2020-07-22,92,94,0.479039835994658
20200723,3166,0.379234351,2020-07-23,69,93,0.396995884218941
20200724,5745,0.478601221,2020-07-24,89,82,0.442696162812088
20200728,5126,0.221090566,2020-07-28,74,81,0.320691544789335
20200729,4535,0.483896639,2020-07-29,72,67,0.454735851093479
20200730,4140,0.300120088,2020-07-30,69,60,0.431622161165528
20200731,4413,0.199499414,2020-07-31,84,69,0.27660707767243
20200803,4344,0.228219913,2020-08-03,75,78,0.278325090641561
20200804,3841,0.642562988,2020-08-04,73,76,0.286351872546517
20200805,4397,0.476658013,2020-08-05,70,71,0.346548639963502
20200806,4259,0.564796756,2020-08-06,76,65,0.422203118865905
20200807,4476,0.475766158,2020-08-07,91,79,0.389018235388009
20200810,4195,0.439891789,2020-08-10,81,74,0.510110147090062
20200811,4450,0.205220157,2020-08-11,79,73,0.345958954970474
20200812,4276,0.43138375,2020-08-12,68,73,0.480370922334816
20200813,4541,0.169037833,2020-08-13,84,64,0.280085540724837
20200814,5125,0.479010673,2020-08-14,65,70,0.390682240154432
20200817,4268,0.393277483,2020-08-17,76,95,0.479783322487188
20200818,4222,0.271458795,2020-08-18,66,80,0.280739042914432
20200819,4102,0.458562856,2020-08-19,81,102,0.490333570850932
20200820,6705,0.479946081,2020-08-20,80,80,0.581268993771594
20200821,3789,0.462520198,2020-08-21,69,74,0.406467025785342
20200824,5021,0.176612873,2020-08-24,83,109,0.553360056786433
20200825,4874,0.172282775,2020-08-25,101,102,0.42699695624735
20200826,5281,0.483699226,2020-08-26,101,84,0.452911554445391
20200827,6134,0.483425543,2020-08-27,70,85,0.603218643937422
20200828,5217,0.705337847,2020-08-28,81,76,0.431761660329674
20200831,3892,0.176641007,2020-08-31,88,92,0.440442502420881
20200902,3412,0.643330145,2020-09-02,69,77,0.36292431468549
20200903,4308,0.478476935,2020-09-03,85,78,0.415026400814886
20200904,4039,0.50278788,2020-09-04,90,73,0.522844394367674
20200907,5802,0.078742866,2020-09-07,64,93,0.526039894378703
20200908,7267,0.324742659,2020-09-08,71,74,0.353264452776183
20200909,5116,0.077778809,2020-09-09,78,66,0.475132332249828
20200910,4750,0.206699891,2020-09-10,87,76,0.571903049259082
20200911,4219,0.157892966,2020-09-11,79,79,0.453209877078948
20200914,3974,0.127603909,2020-09-14,75,78,0.420030514831128
20200915,4367,0.101437507,2020-09-15,76,71,0.338848462312118
20200917,5657,0.3145369,2020-09-17,65,75,0.683647812125475
20200918,6252,0.451324318,2020-09-18,67,59,0.478575641512871
20200921,4214,0.169953256,2020-09-21,62,85,0.497415077051391
20200922,7021,0.176023731,2020-09-22,75,72,0.409312397578488
20200923,4493,0.161031007,2020-09-23,71,71,0.50562074093715
